258, -207, 91, -37, -89
269, -209, 77, -52, -87
293, -192, 64, -62, -87
284, -180, 64, -62, -87
287, -161, 64, -62, -87
265, -181, 67, -60, -85
307, -183, 5, -70, -88
306, -166, 50, -71, -88
317, -172, 50, -71, -88
249, -178, 68, -51, -80
211, -177, 26, -57, -80
166, -181, 42, -60, -80
146, -174, 52, -62, -80
146, -200, 47, -72, -74
145, -223, 15, -73, -75
124, -240, 56, -67, -82
128, -265, 58, -66, -83
106, -261, 61, -64, -83
109, -222, 61, -64, -83
104, -196, 53, -69, -83
106, -172, 53, -69, -84
136, -161, 31, -68, -78
178, -168, 55, -68, -83
224, -182, 56, -67, -83
229, -192, 70, -58, -83
238, -207, 73, -53, -84
203, -208, 46, -73, -91
